Country Name,Time,Forest area (% of land area),GDP growth (annual %),"Unemployment, total (% of total)","Water productivity, total ","Population, total ",Net migration,Current health expenditure (% of GDP) ,Domestic general government health expenditure (% of GDP)
Ireland,2019,11.29365655,5.440937334,4.95,241.7505384,4934340,29113,6.6733737,4.98021936
United States,2019,33.86692641,2.294439078,3.67,44.84507103,328329953,1158444,16.67647362,8.59579563
United Arab Emirates,2019,4.467755562,1.108348135,2.33,165.0987497,9211657,-4466,4.29904938,2.2412796
United Kingdom,2019,13.15256479,1.604308648,3.74,377.0238442,66836327,221179,9.87480068,7.9222517
Sri Lanka,2019,34.20671025,-0.220483887,4.67,7.50867032,21803000,-94897,3.66153812,1.49971151
Singapore,2019,21.9972067,1.331261327,3.1,710.1838408,5703569,40624,4.41523695,2.28311157
Philippines,2019,23.99201798,6.118525662,2.24,4.614389244,110380804,-24066,4.16646004,1.69175851
Qatar,2019,0,0.774808388,0.1,670.0605116,2807235,15493,3.51384258,2.72214365
New Zealand,2019,37.46731989,2.445983155,4.11,20.55079367,4979200,103392,9.48335075,7.13066435
India,2020,24.27022827,-5.83105322,10.195,3.911036739,1396387127,-34772,2.95919013,1.08449912
Ireland,2020,11.35172013,6.184538039,5.62,255.8520178,4985382,15320,7.10143661,5.597785
United States,2020,33.86692641,-2.767802511,8.05,43.60384803,331511512,675560,18.81582642,10.68158436
United Arab Emirates,2020,4.467755562,-4.957052433,4.29,161.0006956,9287289,-2762,5.67226824,3.45929488
United Kingdom,2020,13.18563221,-11.03085846,4.472,335.4348776,67081234,211063,11.97759342,10.02466106
Sri Lanka,2020,34.15809893,-4.624515817,5.2,7.161430673,21919000,-92400,4.06584978,1.86251867
Singapore,2020,21.68523677,-3.901053402,4.1,674.6786458,5685807,21324,6.05388212,3.17285585
Philippines,2020,24.10903176,-9.51829474,2.52,4.175178076,112190977,-41937,5.11274004,2.28181028
Qatar,2020,0,-3.640449805,0.14,645.667295,2760385,-163999,4.18303919,3.30993986
New Zealand,2020,37.57012647,-0.653921432,4.6,20.41640763,5090200,38220,10.02858734,7.73777819
